age,job,marital,education_qual,call_type,day,mon,dur,num_calls,prev_outcome,y
37,management,married,tertiary,unknown,5,may,98,2,unknown,no
54,technician,single,unknown,unknown,5,may,742,2,unknown,no
24,student,single,secondary,unknown,5,may,226,3,unknown,no
54,management,married,tertiary,unknown,5,may,120,2,unknown,no
34,technician,married,secondary,unknown,5,may,362,4,unknown,no
56,technician,divorced,primary,unknown,5,may,357,2,unknown,no
31,blue-collar,single,secondary,unknown,5,may,200,2,unknown,no
24,student,single,secondary,unknown,5,may,204,2,unknown,no
42,blue-collar,divorced,primary,unknown,5,may,126,3,unknown,no
57,technician,married,secondary,unknown,5,may,65,2,unknown,no
42,blue-collar,married,unknown,unknown,5,may,107,2,unknown,no
51,admin.,married,secondary,unknown,5,may,267,2,unknown,no
57,retired,married,secondary,unknown,5,may,248,2,unknown,no
36,services,single,secondary,unknown,5,may,215,2,unknown,no
53,services,married,unknown,unknown,5,may,209,2,unknown,no
50,technician,married,secondary,unknown,5,may,205,2,unknown,no
54,management,married,tertiary,unknown,5,may,83,2,unknown,no
55,blue-collar,married,secondary,unknown,5,may,106,3,unknown,no
44,blue-collar,married,secondary,unknown,5,may,189,2,unknown,no
43,management,married,unknown,unknown,5,may,105,2,unknown,no
56,admin.,married,secondary,unknown,5,may,106,2,unknown,no
54,technician,married,unknown,unknown,5,may,108,2,unknown,no
55,services,divorced,primary,unknown,5,may,311,2,unknown,no
37,services,divorced,secondary,unknown,5,may,214,2,unknown,no
33,admin.,single,tertiary,unknown,5,may,132,2,unknown,no
46,admin.,married,secondary,unknown,5,may,358,2,unknown,no
36,blue-collar,married,secondary,unknown,5,may,453,2,unknown,no
51,technician,single,secondary,unknown,5,may,364,2,unknown,no
40,retired,single,primary,unknown,5,may,136,2,unknown,no
42,blue-collar,married,secondary,unknown,5,may,386,2,unknown,no
51,blue-collar,married,secondary,unknown,5,may,173,2,unknown,no
49,blue-collar,married,unknown,unknown,5,may,241,2,unknown,no
48,management,married,secondary,unknown,5,may,224,3,unknown,no
32,technician,divorced,tertiary,unknown,5,may,148,2,unknown,no
31,admin.,single,secondary,unknown,5,may,196,2,unknown,no
55,management,single,tertiary,unknown,5,may,111,4,unknown,no
40,blue-collar,single,secondary,unknown,5,may,231,3,unknown,no
47,technician,married,tertiary,unknown,5,may,316,3,unknown,no
57,technician,married,unknown,unknown,5,may,216,3,unknown,no
41,blue-collar,married,secondary,unknown,5,may,240,2,unknown,no
48,blue-collar,married,secondary,unknown,5,may,669,3,unknown,no
42,blue-collar,married,unknown,unknown,5,may,425,2,unknown,no
30,blue-collar,single,secondary,unknown,5,may,143,2,unknown,no
58,management,single,tertiary,unknown,5,may,174,5,unknown,no
45,management,divorced,tertiary,unknown,5,may,313,3,unknown,no
49,blue-collar,married,secondary,unknown,5,may,135,4,unknown,no
42,admin.,single,secondary,unknown,5,may,146,2,unknown,no
53,technician,married,secondary,unknown,5,may,152,2,unknown,no
51,admin.,single,secondary,unknown,5,may,402,3,unknown,no
32,services,single,secondary,unknown,5,may,213,2,unknown,no
41,blue-collar,single,secondary,unknown,5,may,144,3,unknown,no
43,management,divorced,secondary,unknown,5,may,124,3,unknown,no
40,blue-collar,divorced,secondary,unknown,5,may,183,2,unknown,no
50,blue-collar,married,primary,unknown,5,may,325,2,unknown,no
34,management,married,tertiary,unknown,5,may,39,4,unknown,no
53,services,married,unknown,unknown,5,may,503,2,unknown,no
45,technician,married,secondary,unknown,5,may,95,4,unknown,no
39,blue-collar,married,primary,unknown,5,may,680,2,unknown,no
44,services,married,tertiary,unknown,5,may,421,4,unknown,no
55,management,married,tertiary,unknown,5,may,174,3,unknown,no
46,management,single,tertiary,unknown,5,may,113,2,unknown,no
45,blue-collar,married,secondary,unknown,5,may,808,2,unknown,no
34,admin.,married,secondary,unknown,5,may,198,3,unknown,no
36,blue-collar,married,secondary,unknown,5,may,195,2,unknown,no
59,unknown,divorced,unknown,unknown,5,may,347,3,unknown,no
31,admin.,single,secondary,unknown,5,may,208,2,unknown,no
44,blue-collar,single,secondary,unknown,5,may,404,4,unknown,no
33,entrepreneur,single,tertiary,unknown,5,may,396,2,unknown,no
40,blue-collar,married,secondary,unknown,5,may,216,4,unknown,no
46,admin.,single,tertiary,unknown,5,may,98,2,unknown,no
48,management,married,tertiary,unknown,5,may,350,2,unknown,no
42,services,married,secondary,unknown,6,may,114,2,unknown,no
27,services,married,secondary,unknown,6,may,88,3,unknown,no
48,admin.,married,secondary,unknown,6,may,379,2,unknown,no
59,admin.,married,secondary,unknown,6,may,190,3,unknown,no
46,technician,married,tertiary,unknown,6,may,158,1,unknown,no
38,admin.,divorced,secondary,unknown,6,may,102,1,unknown,no
43,management,divorced,tertiary,unknown,6,may,306,1,unknown,no
38,admin.,divorced,tertiary,unknown,6,may,218,1,unknown,no
23,student,single,secondary,unknown,6,may,54,1,unknown,no
34,services,married,secondary,unknown,6,may,344,1,unknown,no
38,admin.,married,secondary,unknown,6,may,195,1,unknown,no
37,blue-collar,married,secondary,unknown,6,may,652,1,unknown,no
25,admin.,single,secondary,unknown,6,may,286,1,unknown,no
48,blue-collar,married,unknown,unknown,6,may,189,1,unknown,no
49,blue-collar,single,secondary,unknown,6,may,83,1,unknown,no
38,admin.,single,secondary,unknown,6,may,184,2,unknown,no
43,blue-collar,married,primary,unknown,6,may,235,1,unknown,no
33,management,married,tertiary,unknown,6,may,290,1,unknown,no
55,blue-collar,married,secondary,unknown,6,may,232,1,unknown,no
38,blue-collar,married,secondary,unknown,6,may,133,1,unknown,no
49,services,married,secondary,unknown,6,may,318,1,unknown,no
40,management,married,secondary,unknown,6,may,260,3,unknown,no
43,admin.,married,unknown,unknown,6,may,437,1,unknown,no
38,blue-collar,married,secondary,unknown,6,may,402,1,unknown,no
58,services,married,secondary,unknown,6,may,85,1,unknown,no
57,technician,married,unknown,unknown,6,may,125,1,unknown,no
32,unemployed,married,secondary,unknown,6,may,501,4,unknown,no
56,management,married,tertiary,unknown,6,may,1201,1,unknown,yes
58,blue-collar,divorced,unknown,unknown,6,may,253,1,unknown,no
60,retired,divorced,secondary,unknown,6,may,1030,1,unknown,yes
37,technician,married,tertiary,unknown,6,may,149,1,unknown,no
46,technician,divorced,tertiary,unknown,6,may,114,1,unknown,no
27,admin.,married,secondary,unknown,6,may,243,1,unknown,no
43,blue-collar,married,secondary,unknown,6,may,769,2,unknown,no
32,technician,single,secondary,unknown,6,may,135,3,unknown,no
40,admin.,single,secondary,unknown,6,may,231,1,unknown,no
38,admin.,married,secondary,unknown,6,may,76,1,unknown,no
34,blue-collar,married,secondary,unknown,6,may,199,1,unknown,no
47,blue-collar,married,primary,unknown,6,may,152,1,unknown,no
42,housemaid,married,primary,unknown,6,may,124,1,unknown,no
48,technician,married,secondary,unknown,6,may,424,1,unknown,no
29,self-employed,single,tertiary,unknown,6,may,43,1,unknown,no
50,services,married,secondary,unknown,6,may,154,1,unknown,no
52,technician,married,unknown,unknown,6,may,203,2,unknown,no
50,management,married,tertiary,unknown,6,may,326,1,unknown,no
58,retired,married,tertiary,unknown,6,may,393,1,unknown,no
46,blue-collar,divorced,primary,unknown,6,may,241,3,unknown,no
38,technician,married,secondary,unknown,6,may,483,1,unknown,no
46,blue-collar,married,secondary,unknown,6,may,259,1,unknown,no
32,services,single,secondary,unknown,6,may,227,1,unknown,no
51,blue-collar,married,primary,unknown,6,may,673,1,unknown,no
39,admin.,single,secondary,unknown,6,may,576,1,unknown,no
48,admin.,married,secondary,unknown,6,may,180,2,unknown,no
36,entrepreneur,married,tertiary,unknown,6,may,168,2,unknown,no
34,admin.,divorced,secondary,unknown,6,may,90,1,unknown,no
40,technician,married,secondary,unknown,6,may,505,1,unknown,no
43,unemployed,married,secondary,unknown,6,may,245,1,unknown,no
52,blue-collar,divorced,primary,unknown,6,may,186,1,unknown,no
33,technician,married,secondary,unknown,6,may,623,1,unknown,no
49,management,single,tertiary,unknown,6,may,496,3,unknown,no
32,management,single,tertiary,unknown,6,may,118,1,unknown,no
39,admin.,single,secondary,unknown,6,may,342,1,unknown,no
40,blue-collar,married,secondary,unknown,6,may,225,1,unknown,no
38,technician,single,tertiary,unknown,6,may,185,3,unknown,no
43,management,married,secondary,unknown,6,may,196,2,unknown,no
39,services,married,secondary,unknown,6,may,276,1,unknown,no
54,blue-collar,married,primary,unknown,6,may,76,1,unknown,no
38,technician,single,tertiary,unknown,6,may,87,1,unknown,no
40,blue-collar,married,secondary,unknown,6,may,195,1,unknown,no
55,admin.,married,secondary,unknown,6,may,744,1,unknown,no
42,management,married,tertiary,unknown,6,may,765,1,unknown,no
39,blue-collar,married,secondary,unknown,6,may,262,1,unknown,no
40,blue-collar,married,primary,unknown,6,may,119,1,unknown,no
32,blue-collar,married,secondary,unknown,6,may,198,2,unknown,no
55,admin.,married,secondary,unknown,6,may,150,1,unknown,no
45,blue-collar,married,secondary,unknown,6,may,241,1,unknown,no
35,management,single,tertiary,unknown,6,may,181,1,unknown,no
58,technician,divorced,secondary,unknown,6,may,196,1,unknown,no
35,admin.,married,secondary,unknown,6,may,149,1,unknown,no
49,services,married,primary,unknown,6,may,246,1,unknown,no
34,technician,single,tertiary,unknown,6,may,112,1,unknown,no
36,blue-collar,married,secondary,unknown,6,may,309,2,unknown,no
24,self-employed,single,secondary,unknown,6,may,278,1,unknown,no
34,technician,married,secondary,unknown,6,may,140,1,unknown,no
51,admin.,divorced,secondary,unknown,6,may,136,1,unknown,no
39,technician,single,unknown,unknown,6,may,1623,1,unknown,yes
50,self-employed,married,unknown,unknown,6,may,101,1,unknown,no
32,services,single,secondary,unknown,6,may,144,1,unknown,no
42,blue-collar,married,unknown,unknown,6,may,238,1,unknown,no
50,technician,married,secondary,unknown,6,may,354,1,unknown,no
40,services,married,secondary,unknown,6,may,79,1,unknown,no
46,management,divorced,unknown,unknown,6,may,187,1,unknown,no
37,management,married,tertiary,unknown,6,may,451,2,unknown,no
34,blue-collar,married,secondary,unknown,6,may,159,1,unknown,no
44,blue-collar,married,secondary,unknown,6,may,409,1,unknown,no
40,admin.,single,secondary,unknown,6,may,170,1,unknown,no
37,technician,married,secondary,unknown,6,may,608,1,unknown,yes
33,blue-collar,single,secondary,unknown,6,may,243,1,unknown,no
